price,type,os,Ghz,Cpu,Ssd,graphics,ts_info,resolution,memory/ram,Brand,Links,graphics_quality
1269.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09GE5?Item=9SIBM7NJW21218,Medium
1469.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,https://www.newegg.com/p/2WC-000N-09GG4?Item=9SIBM7NJW21185,Medium
1199.0,Gaming,Windows 10,2.5,Intel Core i5,512,NVIDIA GeForce RTX 3050,0,1920x1200,32,Acer,https://www.newegg.com/p/2WC-000K-01EF4?Item=9SIBM7NJW20087,Medium
1249.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09GF4?Item=9SIBM7NJW21217,Medium
749.0,Gaming,Windows 10,3.0,Intel Core i3,512,Intel UHD Graphics,0,1366x768,12,Lenovo,https://www.newegg.com/p/2WC-000J-025D3?Item=9SIBM7NJW12242,Low
809.0,Gaming,Windows 10,3.0,Intel Core i3,1000,Intel UHD Graphics,0,1366x768,12,Lenovo,https://www.newegg.com/p/2WC-000J-025B2?Item=9SIBM7NJW12233,Low
1549.0,Gaming,Windows 10,3.33,Ryzen 5,2000,NVIDIA GeForce GTX 1650,0,1920x1200,64,Lenovo,https://www.newegg.com/p/2WC-000J-021Y2?Item=9SIBM7NJW18371,Medium
1969.0,Gaming,Windows 10,2.9,Ryzen 7,512,NVIDIA GeForce RTX 3060,0,1920x1080,16,ASUS,https://www.newegg.com/p/2WC-000N-09G47?Item=9SIBM7NJW20915,High
2669.0,Gaming,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3060,0,3840x2160,32,MSI,https://www.newegg.com/p/2WC-000C-0E826?Item=9SIBM7NJW13920,High
1569.0,Gaming,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,0,1920x1080,24,ASUS,https://www.newegg.com/p/2WC-000N-09772?Item=9SIBM7NJW18005,Medium
1559.0,Gaming,Windows 10,2.5,Intel Core i5,4000,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09GG2?Item=9SIBM7NJW21175,Medium
1579.0,Gaming,Windows 10,2.5,Intel Core i5,4000,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09GF3?Item=9SIBM7NJW21173,Medium
1559.0,Gaming,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,0,1920x1080,16,ASUS,https://www.newegg.com/p/2WC-000N-09771?Item=9SIBM7NJW17981,Medium
2249.0,Gaming,Windows 10,2.9,Ryzen 7,2000,NVIDIA GeForce RTX 3060,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09G68?Item=9SIBM7NJW20940,High
1059.0,Gaming,Windows 10,2.5,Intel Core i5,512,NVIDIA GeForce GTX 1650,0,1920x1080,16,ASUS,https://www.newegg.com/p/2WC-000N-09GD3?Item=9SIBM7NJW21195,Medium
1149.0,Gaming,Windows 10,2.4,Intel Core i7,256,Intel Iris Graphics,1,1920x1080,8,HP,https://www.newegg.com/p/2WC-0001-044N9?Item=9SIBM7NJW14333,Medium
1259.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09GC0?Item=9SIBM7NJW21045,Medium
1269.0,Gaming,Windows 10,3.33,Ryzen 5,512,NVIDIA GeForce GTX 1650,0,1920x1200,32,Lenovo,https://www.newegg.com/p/2WC-000J-021X9?Item=9SIBM7NJW18214,Medium
2319.0,Gaming,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,32,Acer,https://www.newegg.com/p/2WC-000K-01DR6?Item=9SIBM7NJW17778,High
1459.0,Gaming,Windows 10,3.33,Ryzen 5,1000,NVIDIA GeForce GTX 1650,0,1920x1200,64,Lenovo,https://www.newegg.com/p/2WC-000J-021X7?Item=9SIBM7NJW18362,Medium
1189.0,Gaming,Windows 10,2.5,Intel Core i5,512,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09GS5?Item=9SIBM7NJW21352,Medium
