price,type,os,Ghz,Cpu,Ssd,graphics,ts_info,resolution,memory/ram,Brand,graphics_quality
1149.0,Work / Business,Windows 11,2.1,Intel Core i7,2000,Intel Iris Graphics,1,1920x1080,32,Dell,Fair
599.79,Content Creation,Windows 11,2.4,Intel Core i5,512,Intel Iris Graphics,1,1920x1080,8,Dell,Fair
699.99,Work / Business,Windows 11,2.0,Ryzen 5,1000,AMD Radeon Graphics,0,1920x1080,16,MSI,Fair
1049.0,Gaming,Windows 11,2.5,Intel Core i5,512,NVIDIA GeForce RTX 3050,0,1920x1080,16,Acer,Fair
829.99,Work / Business,Windows 10,2.6,Intel Core i5,512,Intel Iris Graphics,0,1920x1080,8,Dell,Fair
1619.0,Gaming,Windows 10,1.3,Intel Core i7,1000,NVIDIA GeForce GTX 1650,1,3000x2000,32,Microsoft,Fair
1065.0,Gaming,Windows 10,2.4,Intel Core i7,512,Intel Iris Graphics,0,1920x1080,16,Lenovo,Fair
589.0,Content Creation,Windows 11,2.4,Intel Core i5,128,Intel Iris Graphics,1,1536x1024,8,Microsoft,Fair
1849.0,Gaming,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 4050,0,1920x1080,32,MSI,Fair
1399.99,Home / Personal,Windows 11,3.3,Ryzen 9,4000,AMD Radeon 680M,0,1920x1080,16,ASUS,Fair
2625.76,Gaming,Windows 11,2.5,Intel Core i9,1000,NVIDIA GeForce RTX 3070,0,2560x1440,32,MSI,High
1509.0,Gaming,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,16,Acer,High
714.68,Work / Business,Windows 11,1.7,Intel Core i5,512,Intel Iris Graphics,0,1920x1080,16,MSI,Fair
1269.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,Fair
646.79,Content Creation,Windows 11,2.4,Intel Core i5,512,Intel Iris Graphics,1,1920x1080,32,Dell,Fair
1399.99,Home / Personal,Windows 11,3.1,Intel Core i5,256,Intel Iris Graphics,1,,16,Microsoft,Fair
1329.0,Gaming,Windows 10,3.33,Ryzen 5,1000,NVIDIA GeForce GTX 1650,0,1920x1200,32,Lenovo,Fair
1235.44,Gaming,Windows 11,2.8,Ryzen 7,1000,NVIDIA GeForce GTX 1650,0,1920x1080,16,ASUS,Fair
2499.99,Gaming,Windows 11,2.2,Intel Core i9,1000,NVIDIA GeForce RTX 4080,0,2560x1600,32,Acer,Very High
2319.0,Gaming,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,32,Acer,High
688.79,Home / Personal,Windows 10,1.0,Intel Core i5,512,Intel UHD Graphics,1,1920x1080,16,Dell,Low
1149.0,Gaming,Windows 10,2.4,Intel Core i7,256,Intel Iris Graphics,1,1920x1080,8,HP,Fair
2659.0,Everyday Value,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,0,1920x1200,64,Dell,Fair
1289.99,Gaming,Windows 10,2.5,Intel Core i5,512,NVIDIA GeForce RTX 3050,0,1920x1080,64,Acer,Fair
3376.76,Versatile,Windows 11,2.2,Intel Core i9,2000,NVIDIA GeForce RTX 4070,1,2560x1600,64,MSI,High
1139.99,Gaming,Windows 10,2.5,Intel Core i5,512,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,Fair
1349.99,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce RTX 3050,0,1920x1080,64,Acer,Fair
1129.99,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,16,ASUS,Fair
1149.0,Gaming,Windows 11,4.3,Ryzen 5,512,NVIDIA GeForce RTX 4050,0,1920x1200,16,Acer,Fair
722.81,Versatile,Windows 11,1.7,Intel Core i5,512,NVIDIA GeForce GTX 1650,0,1920x1080,16,MSI,Fair
1439.0,Gaming,Windows 10,2.4,Intel Core i7,1000,Intel Iris Graphics,0,1920x1080,32,HP,Fair
1379.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce RTX 3050,0,1920x1200,32,Acer,Fair
1699.99,Gaming,Windows 11,3.2,Ryzen 7,2000,NVIDIA GeForce RTX 3070,0,2560x1440,32,Acer,High
889.0,Home / Personal,Windows 10,2.0,Ryzen 7,512,AMD Radeon Graphics,1,2496x1664,8,Microsoft,Fair
2639.11,Home / Personal,Windows 11,3.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,1,,32,Microsoft,Fair
999.87,Home / Personal,Windows 10,2.8,Intel Core i7,512,Intel Iris Graphics,0,1920x1080,16,ASUS,Fair
1609.99,Gaming,Windows 10,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3070,0,1920x1080,32,MSI,High
999.0,Home / Personal,Windows 10,2.5,Intel Core i7,256,Intel Iris Graphics,1,2256x1504,8,Microsoft,Fair
1779.0,Gaming,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,64,Acer,High
1299.0,Gaming,Windows 10,2.9,Ryzen 7,512,NVIDIA GeForce RTX 3050,0,1920x1080,16,ASUS,Fair
2654.11,Home / Personal,Windows 11,3.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,1,,32,Microsoft,Fair
648.78,Content Creation,Windows 11,1.0,Intel Core i5,512,Intel UHD Graphics,1,1920x1080,16,Dell,Low
1539.99,Gaming,Windows 11,2.6,Intel Core i9,1000,NVIDIA GeForce RTX 3050,0,2880x1800,24,ASUS,Fair
1169.99,Home / Personal,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,0,1920x1080,16,MSI,Fair
1519.0,Gaming,Windows 11,2.3,Intel Core i5,512,NVIDIA GeForce RTX 3050,0,1920x1080,64,ASUS,Fair
1939.0,Gaming,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3070,0,1920x1080,16,MSI,High
1699.97,Content Creation,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3060,0,3072x1920,16,Acer,High
273.0,Home / Personal,Windows 11,2.6,Ryzen 3,128,AMD Radeon Graphics,0,1366x768,8,Acer,Fair
1049.99,Gaming,Windows 11,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3050,0,1920x1080,16,Lenovo,Fair
1941.99,Versatile,Windows 11,2.2,Intel Core i9,1000,NVIDIA GeForce RTX 4070,0,3200x2000,16,ASUS,High
1769.0,Gaming,Windows 11,2.3,Intel Core i7,2000,NVIDIA GeForce RTX 3060,0,1920x1080,32,Acer,High
1129.99,Versatile,Windows 10,2.4,Intel Core i5,512,Intel Iris Graphics,1,2256x1504,16,Microsoft,Fair
1019.0,Versatile,Windows 11,1.3,Intel Core i5,256,Intel Iris Graphics,1,2256x1504,8,Microsoft,Fair
3979.0,Gaming,Windows 11,2.5,Ryzen 9,2000,NVIDIA GeForce RTX 4090,0,2260x1400,64,ASUS,Very High
1079.99,Home / Personal,Windows 11,1.7,Intel Core i7,1000,Intel Iris Graphics,0,1920x1200,16,Lenovo,Fair
2117.99,Gaming,Windows 11,2.2,Intel Core i9,1000,NVIDIA GeForce RTX 4070,0,2560x1600,32,ASUS,High
720.0,Everyday Value,Windows 10,2.4,Intel Core i5,1000,Intel Iris Graphics,0,1920x1080,16,HP,Fair
549.19,Content Creation,Windows 11,2.4,Intel Core i5,256,Intel Iris Graphics,1,1920x1080,8,Dell,Fair
1099.0,Work / Business,Windows 11,1.8,Intel Core i7,2000,Intel Iris Graphics,0,1920x1080,16,Dell,Fair
1449.99,Home / Personal,Windows 11,3.3,Ryzen 9,4000,AMD Radeon 680M,0,1920x1080,24,ASUS,Fair
1979.0,Gaming,Windows 11,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3060,0,1920x1080,16,MSI,High
1039.99,Work / Business,Windows 10,2.1,Ryzen 5,1000,AMD Radeon Vega 6,0,1920x1080,24,Lenovo,Fair
599.69,Home / Personal,Windows 11,2.4,Intel Core i5,512,Intel Iris Graphics,0,1920x1080,16,Dell,Fair
1274.99,Work / Business,Windows 10,3.0,Intel Core i7,512,NVIDIA GeForce GTX 1650,0,1920x1080,16,MSI,Fair
3749.0,Gaming,Windows 11,2.6,Intel Core i9,2000,NVIDIA GeForce RTX 4090,0,2560x1440,64,MSI,Very High
569.68,Home / Personal,Windows 11,2.4,Intel Core i5,256,Intel Iris Graphics,0,1920x1080,16,Dell,Fair
1299.99,Versatile,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3060,1,3840x2400,16,ASUS,High
429.0,Work / Business,Windows 11,2.5,Intel Core i5,512,Intel Iris Graphics,0,1920x1080,16,MSI,Fair
1349.99,Home / Personal,Windows 11,2.8,Intel Core i7,4000,Intel Iris Graphics,0,1920x1080,24,Lenovo,Fair
749.99,Gaming,Windows 11,2.7,Intel Core i5,512,NVIDIA GeForce RTX 3050,0,1920x1080,8,ASUS,Fair
1459.0,Gaming,Windows 10,3.33,Ryzen 5,1000,NVIDIA GeForce GTX 1650,0,1920x1200,64,Lenovo,Fair
739.99,Home / Personal,Windows 10,2.0,Ryzen 7,256,AMD Radeon Graphics,1,2496x1664,8,Microsoft,Fair
1719.0,Gaming,Windows 11,3.3,Ryzen 9,1000,NVIDIA GeForce RTX 3080,0,2560x1440,16,ASUS,High
1899.0,Gaming,Windows 11,3.2,Ryzen 7,2000,NVIDIA GeForce RTX 3070,0,2560x1440,16,Acer,High
2249.99,Home / Personal,Windows 10,2.8,Intel Core i7,1000,Intel Iris Graphics,1,2736x1824,16,Microsoft,Fair
1569.99,Gaming,Windows 11,1.6,Intel Core i5,4000,NVIDIA T550,0,1920x1080,32,HP,Fair
589.0,Content Creation,Windows 11,2.4,Intel Core i5,128,Intel Iris Graphics,1,1536x1024,8,Microsoft,Fair
816.99,Versatile,Windows 10,1.3,Intel Core i3,128,Intel UHD Graphics,1,1920x1280,8,Microsoft,Low
1959.0,Gaming,Windows 11,2.5,Intel Core i9,512,NVIDIA GeForce RTX 3070,0,1920x1080,16,MSI,High
1469.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,Fair
1379.99,Gaming,Windows 11,3.2,Ryzen 7,2000,NVIDIA GeForce RTX 3050,0,1920x1080,32,Lenovo,Fair
1449.0,Gaming,Windows 11,2.5,Intel Core i5,4000,NVIDIA GeForce RTX 3050,0,1920x1080,64,Acer,Fair
2199.99,Versatile,Windows 11,1.7,Intel Core i7,1000,Intel Iris Graphics,1,2880x1920,16,Microsoft,Fair
1289.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce RTX 3050,0,1920x1200,32,Acer,Fair
1559.0,Gaming,Windows 11,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3060,0,1920x1080,32,Acer,High
1269.99,Gaming,Windows 11,1.6,Intel Core i5,2000,NVIDIA T550,0,1920x1080,32,HP,Fair
1599.0,Work / Business,Windows 11,2.2,Intel Core i7,1000,Intel Iris Graphics,1,2560x1600,32,MSI,Fair
1989.0,Gaming,Windows 11,3.2,Ryzen 7,2000,NVIDIA GeForce RTX 3070,0,2560x1440,32,Acer,High
2899.99,Gaming,Windows 11,2.2,Intel Core i9,2000,NVIDIA GeForce RTX 4080,0,2560x1600,32,Acer,Very High
1059.0,Gaming,Windows 10,2.5,Intel Core i5,512,NVIDIA GeForce GTX 1650,0,1920x1080,16,ASUS,Fair
1999.99,Versatile,Windows 11,2.5,Intel Core i9,1000,NVIDIA GeForce RTX 3070,1,3840x2160,32,ASUS,High
1039.0,Home / Personal,Windows 11,3.3,Ryzen 5,512,NVIDIA GeForce RTX 3050,0,1920x1080,32,Lenovo,Fair
1639.0,Gaming,Windows 11,2.9,Ryzen 7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,32,ASUS,High
1075.11,Content Creation,Windows 11,2.4,Intel Core i5,256,Intel Iris Graphics,1,1536x1024,16,Microsoft,Fair
